Region,Total GDP (mln€),Pro-capite GDP (€),Pro-capite GDP (Italy=100)
Piemonte,134 710,30 300,106.3
Valle d'Aosta,4 785,35 200,123.5
Liguria,49 285,29 678,104.1
Lombardia,385 347,38 200,134.0
Alto Adige,24 089,42 300,148.4
Trentino,20 209,36 100,126.7
Veneto,159 984,33 100,116.1
Friuli-Venezia Giulia,37 509,31 000,108.8
Emilia-Romagna,157 862,35 300,123.9
Toscana,114 807,30 500,107.0
Umbria,22 113,24 300,85.3
Marche,41 282,26 600,93.3
Lazio,196 296,32 900,115.4
Abruzzo,32 540,24 400,85.6
Molise,6 218,19 500,68.4
Campania,107 703,18 200,63.9
Puglia,73 503,18 000,63.2
Basilicata,12 205,20 800,73.0
Calabria,33 160,17 100,60.0
Sicilia,87 952,17 400,61.1
Sardegna,33 724,20 300,71.2
